tag,content,links
ul,"Alumni & Friends
Community
Current Students
Faculty & Staff
Parents & Family
Prospective Students","['https://www.charlotte.edu/gateway/alumni-friends', 'https://www.charlotte.edu/gateway/community', 'https://www.charlotte.edu/gateway/current-students', 'https://www.charlotte.edu/gateway/faculty-staff', 'https://www.charlotte.edu/gateway/parents-family', 'https://www.charlotte.edu/gateway/prospective-students']"
p,Go to Charlotte.edu,[]
h2,Prospective Students,[]
ul,"About UNC Charlotte


Campus Life


Admissions


Graduate Admissions","['https://www.charlotte.edu/landing/about-us', 'https://www.charlotte.edu/landing/campus-life', 'https://admissions.charlotte.edu/', 'https://gradadmissions.charlotte.edu/']"
h2,Faculty and Staff,[]
ul,"Human Resources


Auxiliary Services


Inside UNC Charlotte


Academic Affairs","['https://hr.charlotte.edu/', 'https://aux.charlotte.edu/', 'https://inside.charlotte.edu/', 'https://provost.charlotte.edu/']"
h2,Current Students,[]
ul,"Athletics


Financial Aid


Advising


Student Health","['http://www.charlotte49ers.com/', 'https://finaid.charlotte.edu/', 'https://advising.charlotte.edu/', 'https://studenthealth.charlotte.edu/']"
h2,Alumni and Friends,[]
ul,"Alumni Association


Advancement


Foundation


Make a Gift","['https://alumni.charlotte.edu/', 'https://advancement.charlotte.edu/', 'https://foundation.charlotte.edu/', 'https://giving.charlotte.edu/']"
h2,Main Menu,[]
ul,"About Us

Technology Resources
Student Experience
Job Opportunities
Vision and Mission
Strategic Plan
Policies and Procedures
CCI Alumni Network
Giving
Program Assessment


Directory

Office of the Dean
Dean’s Advisory Board
Faculty
Staff
Post Docs
Ph.D. Students
Contact Us


Events
Departments

Department of Bioinformatics and Genomics
Department of Computer Science
Department of Software information Systems
NC Research Campus (NCRC)


Academic Programs

Undergraduate Studies
Graduate Programs
Doctoral Degrees
Graduate Certificates
CCI Honors Program


CCI Research Areas

NEW Funding Opportunities
Faculty Areas of Expertise
Labs
CCI Innovation Fund
CCI Research Seminars
Undergraduate Research
Research FAQ


Student Life

Advising
CCI Mentoring
CCI Learning Community
Student Resources
CCI Undergraduate Tutoring Center
Student Clubs & Organizations
CCI Dean’s Ambassador Program


Business Partners

Benefits
Student Professional Development Events and Opportunities
Lowe’s Technology Days","['https://cci.charlotte.edu/about-us/cci-brochure-2018/cci-brochure-2019/', 'https://cci.charlotte.edu/cci-fast-facts/oneit-help-center-in-woodward/', 'https://cci.charlotte.edu/cci-fast-facts/diversity/', 'https://cci.charlotte.edu/applications-are-being-accepted-for-multiple-faculty-positions/', 'https://cci.charlotte.edu/about-us/mission-and-values/', 'https://cci.charlotte.edu/about-us/2022-strategic-plan/', 'https://cci.charlotte.edu/about-us/policies-and-procedures/', 'https://cci.charlotte.edu/about-us/cci-alumni-network/', 'https://cci.charlotte.edu/cci-fast-facts/giving/', 'https://cci.charlotte.edu/about-us/program-assessment/', 'https://cci.charlotte.edu/about-us/people/', 'https://cci.charlotte.edu/about-us/people/', 'https://cci.charlotte.edu/directory/deans-advisory-board/', 'https://cci.charlotte.edu/directory/faculty/', 'https://cci.charlotte.edu/directory/13/', 'https://cci.charlotte.edu/directory/15/', 'https://cci.charlotte.edu/directory/ph-d-students/', 'https://cci.charlotte.edu/directory/contact/', 'https://cci.charlotte.edu/events/', 'https://cci.charlotte.edu/departments/', 'https://cci.charlotte.edu/departments/department-of-bioinformatics-and-genomics/', 'https://cci.charlotte.edu/departments/department-of-computer-science/', 'https://cci.charlotte.edu/departments/department-of-software-information-systems/', 'https://cci.charlotte.edu/departments/nc-research-campus-ncrc/', 'https://cci.charlotte.edu/academics/', 'https://cci.charlotte.edu/academics/undergraduate-studies/', 'https://cci.charlotte.edu/graduate-programs/', 'https://cci.charlotte.edu/academics/doctoral-degrees/', 'https://cci.charlotte.edu/academics/graduate-certificates/', 'https://cci.charlotte.edu/academics/honors-program/', 'https://cci.charlotte.edu/cci-research-areas/', 'https://cci.charlotte.edu/research/new-funding-opportunities/', 'https://cci.charlotte.edu/research/faculty-areas-expertise/', 'https://cci.charlotte.edu/cci-research-areas/labs/', 'https://cci.charlotte.edu/research/cci-innovation-fund/', 'https://cci.charlotte.edu/research/research-seminar/', 'https://cci.charlotte.edu/research/undergraduate-research-opportunities/', 'https://cci.charlotte.edu/research/research-faq/', 'https://cci.charlotte.edu/student-life/unc-charlotte-student-life/', 'https://cci.charlotte.edu/advising/', 'https://cci.charlotte.edu/student-life/cci-mentoring/', 'https://cci.charlotte.edu/unc-charlotte-student-life/learning-community/', 'https://cci.charlotte.edu/node/6871/', 'https://cci.charlotte.edu/student-life/tutoring/', 'https://cci.charlotte.edu/unc-charlotte-student-life/students-clubs-organizations/', 'https://cci.charlotte.edu/student-life/cci-deans-ambassador-program/', 'https://cci.charlotte.edu/partners/', 'https://cci.charlotte.edu/partners/business-partners/benefits/', 'https://cci.charlotte.edu/business-partners/business-partners-newsletter/', 'https://cci.charlotte.edu/partners/lowes-technology-days/']"
ul,"Technology Resources
Student Experience
Job Opportunities
Vision and Mission
Strategic Plan
Policies and Procedures
CCI Alumni Network
Giving
Program Assessment","['https://cci.charlotte.edu/cci-fast-facts/oneit-help-center-in-woodward/', 'https://cci.charlotte.edu/cci-fast-facts/diversity/', 'https://cci.charlotte.edu/applications-are-being-accepted-for-multiple-faculty-positions/', 'https://cci.charlotte.edu/about-us/mission-and-values/', 'https://cci.charlotte.edu/about-us/2022-strategic-plan/', 'https://cci.charlotte.edu/about-us/policies-and-procedures/', 'https://cci.charlotte.edu/about-us/cci-alumni-network/', 'https://cci.charlotte.edu/cci-fast-facts/giving/', 'https://cci.charlotte.edu/about-us/program-assessment/']"
ul,"Office of the Dean
Dean’s Advisory Board
Faculty
Staff
Post Docs
Ph.D. Students
Contact Us","['https://cci.charlotte.edu/about-us/people/', 'https://cci.charlotte.edu/directory/deans-advisory-board/', 'https://cci.charlotte.edu/directory/faculty/', 'https://cci.charlotte.edu/directory/13/', 'https://cci.charlotte.edu/directory/15/', 'https://cci.charlotte.edu/directory/ph-d-students/', 'https://cci.charlotte.edu/directory/contact/']"
ul,"Department of Bioinformatics and Genomics
Department of Computer Science
Department of Software information Systems
NC Research Campus (NCRC)","['https://cci.charlotte.edu/departments/department-of-bioinformatics-and-genomics/', 'https://cci.charlotte.edu/departments/department-of-computer-science/', 'https://cci.charlotte.edu/departments/department-of-software-information-systems/', 'https://cci.charlotte.edu/departments/nc-research-campus-ncrc/']"
ul,"Undergraduate Studies
Graduate Programs
Doctoral Degrees
Graduate Certificates
CCI Honors Program","['https://cci.charlotte.edu/academics/undergraduate-studies/', 'https://cci.charlotte.edu/graduate-programs/', 'https://cci.charlotte.edu/academics/doctoral-degrees/', 'https://cci.charlotte.edu/academics/graduate-certificates/', 'https://cci.charlotte.edu/academics/honors-program/']"
ul,"NEW Funding Opportunities
Faculty Areas of Expertise
Labs
CCI Innovation Fund
CCI Research Seminars
Undergraduate Research
Research FAQ","['https://cci.charlotte.edu/research/new-funding-opportunities/', 'https://cci.charlotte.edu/research/faculty-areas-expertise/', 'https://cci.charlotte.edu/cci-research-areas/labs/', 'https://cci.charlotte.edu/research/cci-innovation-fund/', 'https://cci.charlotte.edu/research/research-seminar/', 'https://cci.charlotte.edu/research/undergraduate-research-opportunities/', 'https://cci.charlotte.edu/research/research-faq/']"
ul,"Advising
CCI Mentoring
CCI Learning Community
Student Resources
CCI Undergraduate Tutoring Center
Student Clubs & Organizations
CCI Dean’s Ambassador Program","['https://cci.charlotte.edu/advising/', 'https://cci.charlotte.edu/student-life/cci-mentoring/', 'https://cci.charlotte.edu/unc-charlotte-student-life/learning-community/', 'https://cci.charlotte.edu/node/6871/', 'https://cci.charlotte.edu/student-life/tutoring/', 'https://cci.charlotte.edu/unc-charlotte-student-life/students-clubs-organizations/', 'https://cci.charlotte.edu/student-life/cci-deans-ambassador-program/']"
ul,"Benefits
Student Professional Development Events and Opportunities
Lowe’s Technology Days","['https://cci.charlotte.edu/partners/business-partners/benefits/', 'https://cci.charlotte.edu/business-partners/business-partners-newsletter/', 'https://cci.charlotte.edu/partners/lowes-technology-days/']"
h2,Departments,['https://cci.charlotte.edu/departments/']
ul,"Department of Bioinformatics and Genomics

BIG Faculty
BIG Staff
About Bioinformatics & Genomics

Dissertation Archive
Facilities

Core Laboratories
Research Computing


Directions
Community Partners


BIG News

Recognitions


Larry Mays Seminar Series in Bioinformatics
Bioinformatics Research

Big Data in Bioinformatics
Research Labs
Computational Biophysics
Computational Mass Spectrometry
Genome-Wide Association Analysis
High-Throughput Studies
Metagenomics
Plant Genomics
Structural Bioinformatics
Systems Biology


BiG Calendar
Academics

Computer Science Bioinformatics Concentration, B.A.
Computer Science Bioinformatics Concentration, B.S.
Undergraduate Minor in Bioinformatics and Genomics Program Requirements
Early-Entry Bioinformatics M.S. and Graduate Certificate
Bioinformatics Technology Certificate
Master’s in Bioinformatics

Admissions
Program Requirements
M.S. in Bioinformatics Forms


Bioinformatics and Computational Biology (BCB) Ph.D. Program

BCB Ph.D. Admissions
BCB Ph.D. Program Requirements
Ph.D. Forms
Molecular Biophysics Concentration


Courses

Undergraduate Courses in Bioinformatics
Graduate Courses


Frequently Asked Questions
Undergraduate Research Initiative




Department of Computer Science

About Computer Science

Administration
Directions
Contact Information
CS Faculty
CS Staff


CS Academics

Academic Programs
Undergraduate Programs

Computer Science: B.S./B.A.
Courses


CS Certificate Programs

Graduate Certificate in Applied A.I.
UNDERGRADUATE CERTIFICATE IN GAME DESIGN


Early Entry (4 + 1) Program

Deadlines for Early Entry (4 + 1) Program


Master’s Programs

M.S. Requirements
M.S. Admissions
M.S. Funding and Assistantships
Evening Computer Science MS Degree Program
M.S. Courses
M.S. Course Rotation


Ph.D. in Computing and Information Systems, CS Track

Ph.D. Admissions
Degree Requirements
Courses


Other Programs
CS Student Forms and Resources


CS Research
CS News
CS Department Intranet


Department of Software information Systems

About Software & Information Systems

Administration
Directions
SIS Faculty
SIS Staff


SIS Academics

Undergraduate Programs

Course Listings
Programs
Software and Information Systems: B.S./B.A.


SIS Master’s Programs

About SIS Master’s Degrees
Admissions
Degree Requirements
Early Entry (4+1) Program
Labs & Research
Frequently Asked Questions
SIS Contact


SIS Graduate Certificates

Software Development Certificate
Frequently Asked Questions – SIS Graduate Certificates


Fundamentals of Programming Courses
Ph.D. in Computing and Information Systems, SIS Track

Ph.D. Computing and Information Systems: Software and Information Systems Track
Ph.D. Courses
Ph.D. Admissions
Ph.D. Resources


Cybersecurity Program
Scholarships

CyberCorps: Scholarship for Service (SFS)
Graduate Assistant Support Plan (GASP)
The STARS Computing Scholars




SIS News
SIS Research

Centers and Institutes
Complex Adaptive Systems
Cyber Defense and Network Assurability Research Center




School of Data Science
NC Research Campus (NCRC)

NCRC Directory","['https://cci.charlotte.edu/departments/department-of-bioinformatics-and-genomics/', 'https://cci.charlotte.edu/departments/department-of-bioinformatics-and-genomics/big-faculty/', 'https://cci.charlotte.edu/departments/department-of-bioinformatics-and-genomics/big-staff/', 'https://cci.charlotte.edu/departments/bioinformatics/about-big/', 'https://cci.charlotte.edu/departments/bioinformatics/dissertation-archive/', 'https://cci.charlotte.edu/departments/bioinformatics/about-big/facilities/', 'https://cci.charlotte.edu/departments/bioinformatics/about-big/facilities/core-laboratories/', 'https://cci.charlotte.edu/departments/bioinformatics/about-big/facilities/research-computing/', 'https://cci.charlotte.edu/departments/bioinformatics/about-big/directions/', 'https://cci.charlotte.edu/departments/bioinformatics/about-big/community-partners/', 'https://cci.charlotte.edu/big-news/', 'https://cci.charlotte.edu/departments/bioinformatics/bioinformatics-news/recognitions/', 'https://cci.charlotte.edu/departments/bioinformatics/seminars/', 'https://cci.charlotte.edu/research/bioinformatics-research/', 'https://cci.charlotte.edu/research/bioinformatics-research/big-data-bioinformatics/', 'https://cci.charlotte.edu/research/bioinformatics-research/research-labs/', 'https://cci.charlotte.edu/research/bioinformatics-research/computational-biophysics/', 'https://cci.charlotte.edu/research/bioinformatics-research/computational-mass-spectrometry/', 'https://cci.charlotte.edu/research/bioinformatics-research/genome-wide-association-analysis/', 'https://cci.charlotte.edu/research/bioinformatics-research/high-throughput-studies/', 'https://cci.charlotte.edu/research/bioinformatics-research/metagenomics/', 'https://cci.charlotte.edu/research/bioinformatics-research/plant-genomics/', 'https://cci.charlotte.edu/research/bioinformatics-research/structural-bioinformatics/', 'https://cci.charlotte.edu/research/bioinformatics-research/systems-biology/', 'https://cci.charlotte.edu/big-calendar/', 'https://cci.charlotte.edu/academics/bioinformatics/', 'https://cci.charlotte.edu/academics/bioinformatics/computer-science-bioinformatics-concentration-ba/', 'https://cci.charlotte.edu/academics/bioinformatics/computer-science-bioinformatics-concentration-bs/', 'https://cci.charlotte.edu/academics/bioinformatics/undergraduate-minor-bioinformatics-and-genomics-program-requirements/', 'https://cci.charlotte.edu/academics/bioinformatics/early-entry-bioinformatics-ms-and-graduate-certificates/', 'https://cci.charlotte.edu/academics/bioinformatics/bioinformatics-graduate-certificates/', 'https://cci.charlotte.edu/academics/bioinformatics/bioinformatics-ms-program/', 'https://cci.charlotte.edu/academics/bioinformatics/bioinformatics-ms-program/admissions/', 'https://cci.charlotte.edu/academics/bioinformatics/bioinformatics-ms-program/program-requirements/', 'https://cci.charlotte.edu/academics/bioinformatics/bioinformatics-ms-program/ms-bioinformatics-forms/', 'https://cci.charlotte.edu/academics/bioinformatics/bcb-phd-program/', 'https://cci.charlotte.edu/academics/bioinformatics/bcb-phd-program/bcb-phd-admissions/', 'https://cci.charlotte.edu/academics/bioinformatics/bcb-phd-program/bcb-phd-program-requirements/', 'https://cci.charlotte.edu/academics/bioinformatics/bcb-phd-program/phd-forms/', 'https://cci.charlotte.edu/departments/department-of-bioinformatics-and-genomics/academics-2/molecular-biophysics-concentration/', 'https://cci.charlotte.edu/academics/bioinformatics/courses/', 'https://cci.charlotte.edu/academics/bioinformatics/courses/undergraduate-courses/', 'https://cci.charlotte.edu/academics/bioinformatics/courses/graduate-courses/', 'https://cci.charlotte.edu/departments/department-of-bioinformatics-and-genomics/academics-2/courses/frequently-asked-questions/', 'https://cci.charlotte.edu/academics/bioinformatics/undergraduate-research-initiative/', 'https://cci.charlotte.edu/departments/department-of-computer-science/', 'https://cci.charlotte.edu/departments/computer-science/about-us/', 'https://cci.charlotte.edu/departments/computer-science/about-us/administration/', 'https://cci.charlotte.edu/departments/computer-science/about-us/directions/', 'https://cci.charlotte.edu/departments/department-of-computer-science/about-computer-science/contact-information/', 'https://cci.charlotte.edu/departments/department-of-computer-science/about-computer-science/cs-faculty/', 'https://cci.charlotte.edu/departments/department-of-computer-science/about-computer-science/cs-staff/', 'https://cci.charlotte.edu/academics/computer-science/', 'https://cci.charlotte.edu/academics/academic-programs/', 'https://cci.charlotte.edu/academics/computer-science/undergraduate-programs/', 'https://cci.charlotte.edu/academics/computer-science/undergraduate-programs/courses/', 'https://cci.charlotte.edu/academics/computer-science/undergraduate-programs/courses-0/', 'https://cci.charlotte.edu/departments/computer-science-cs/cs-academics/cs-certificate-programs/', 'https://cci.charlotte.edu/departments/department-of-computer-science/academics/cs-certificate-programs/graduate-certificate-in-applied-a-i/', 'https://cci.charlotte.edu/departments/department-of-computer-science/academics/cs-certificate-programs/undergraduate-certificate-in-game-design/', 'https://cci.charlotte.edu/academics/computer-science/5-year-babs-ms-degree-program/', 'https://cci.charlotte.edu/academics/computer-science/early-entry-4-1-program/deadlines/', 'https://cci.charlotte.edu/academics/computer-science/masters-programs/', 'https://cci.charlotte.edu/academics/computer-science/masters-program/ms-requirements/', 'https://cci.charlotte.edu/academics/computer-science/masters-program/ms-admissions/', 'https://cci.charlotte.edu/departments/computer-science-cs/cs-academics/masters-programs/ms-funding/', 'https://cci.charlotte.edu/academics/computer-science/masters-program/evening-computer-science-ms-degree-program/', 'https://cci.charlotte.edu/academics/computer-science/masters-program/ms-courses/', 'https://cci.charlotte.edu/academics/computer-science/masters-program/ms-course-rotation/', 'https://cci.charlotte.edu/academics/computer-science/phd-program-cs-track/', 'https://cci.charlotte.edu/departments/department-of-computer-science/academics/ph-d-in-computing-and-information-systems-cs-track/admissions-2/', 'https://cci.charlotte.edu/departments/computer-science-cs/cs-academics/phd-program-cs-track/degree-requirements/', 'https://cci.charlotte.edu/academics/computer-science/phd-program-cs-track/courses/', 'https://cci.charlotte.edu/departments/department-of-computer-science/academics/other-programs/', 'https://cci.charlotte.edu/departments/computer-science-cs/cs-academics/cs-student-forms-and-links/', 'https://cci.charlotte.edu/departments/computer-science-cs/cs-research/', 'https://cci.charlotte.edu/cs-news/', 'https://cci.charlotte.edu/departments/department-of-computer-science/cs-department-intranet/', 'https://cci.charlotte.edu/departments/department-of-software-information-systems/', 'https://cci.charlotte.edu/departments/department-of-software-information-systems/about-software-information-systems/', 'https://cci.charlotte.edu/departments/software-and-information-systems-sis/about-sis/administration/', 'https://cci.charlotte.edu/departments/software-and-information-systems-sis/about-sis/directions/', 'https://cci.charlotte.edu/sis-faculty/', 'https://cci.charlotte.edu/departments/department-of-software-information-systems/about-software-information-systems/sis-staff/', 'https://cci.charlotte.edu/academics/software-and-information-systems/', 'https://cci.charlotte.edu/academics/software-and-information-systems/undergraduate-programs/', 'https://cci.charlotte.edu/academics/software-and-information-systems/undergraduate-programs/course-listings/', 'https://cci.charlotte.edu/academics/software-and-information-systems/undergraduate-programs/programs/', 'https://cci.charlotte.edu/academics/software-and-information-systems/undergraduate-programs/software-and-information-systems/', 'https://cci.charlotte.edu/departments/department-of-software-information-systems/academics-3/sis-masters-programs/', 'https://cci.charlotte.edu/departments/software-and-information-systems-sis/sis-academics/masters-programs/about-sis-masters/', 'https://cci.charlotte.edu/sis-grad-admissions/', 'https://cci.charlotte.edu/sis-grad-requirements/', 'https://cci.charlotte.edu/sis-early-entry/', 'https://cci.charlotte.edu/sis-labs-and-research/', 'https://cci.charlotte.edu/sis-grad-faq/', 'https://cci.charlotte.edu/departments/department-of-software-information-systems/academics-3/sis-masters-programs/sis-contact/', 'https://cci.charlotte.edu/departments/department-of-software-information-systems/academics-3/sis-graduate-certificates/', 'https://cci.charlotte.edu/departments/software-and-information-systems-sis/sis-academics/graduate-certificates/software/', 'https://cci.charlotte.edu/sis-certificates-faq/', 'https://cci.charlotte.edu/departments/software-and-information-systems-sis/sis-academics/graduate-certificates/fundamentals/', 'https://cci.charlotte.edu/academics/software-and-information-systems/phd-sis-track/', 'https://cci.charlotte.edu/academics/software-and-information-systems/phd-sis-track/degree-requirements/', 'https://cci.charlotte.edu/academics/software-and-information-systems/phd-sis-track/phd-courses/', 'https://cci.charlotte.edu/academics/software-and-information-systems/phd-sis-track/phd-admissions/', 'https://cci.charlotte.edu/academics/software-and-information-systems/phd-sis-track/phd-resources/', 'https://cci.charlotte.edu/cybersecurity/', 'https://cci.charlotte.edu/departments/software-and-information-systems-sis/scholarships/', 'https://cci.charlotte.edu/departments/software-and-information-systems-sis/scholarships/cybercorps-scholarship-service-sfs/', 'https://cci.charlotte.edu/departments/software-and-information-systems-sis/scholarships/graduate-assistant-support-plan-gasp/', 'https://cci.charlotte.edu/departments/software-and-information-systems-sis/scholarships/stars-computing-scholars/', 'https://cci.charlotte.edu/departments/department-of-software-information-systems/sis-news/', 'https://cci.charlotte.edu/research/sis-research/', 'https://cci.charlotte.edu/research/sis-research/centers-and-institutes/', 'https://cci.charlotte.edu/research/sis-research/complex-adaptive-systems/', 'https://cci.charlotte.edu/research/sis-research/cyber-defense-and-network-assurability-research-cente/', 'https://cci.charlotte.edu/departments/school-of-data-science/', 'https://cci.charlotte.edu/departments/nc-research-campus-ncrc/', 'https://cci.charlotte.edu/nc-research-campus-ncrc/ncrc-directory/']"
ul,"BIG Faculty
BIG Staff
About Bioinformatics & Genomics

Dissertation Archive
Facilities

Core Laboratories
Research Computing


Directions
Community Partners


BIG News

Recognitions


Larry Mays Seminar Series in Bioinformatics
Bioinformatics Research

Big Data in Bioinformatics
Research Labs
Computational Biophysics
Computational Mass Spectrometry
Genome-Wide Association Analysis
High-Throughput Studies
Metagenomics
Plant Genomics
Structural Bioinformatics
Systems Biology


BiG Calendar
Academics

Computer Science Bioinformatics Concentration, B.A.
Computer Science Bioinformatics Concentration, B.S.
Undergraduate Minor in Bioinformatics and Genomics Program Requirements
Early-Entry Bioinformatics M.S. and Graduate Certificate
Bioinformatics Technology Certificate
Master’s in Bioinformatics

Admissions
Program Requirements
M.S. in Bioinformatics Forms


Bioinformatics and Computational Biology (BCB) Ph.D. Program

BCB Ph.D. Admissions
BCB Ph.D. Program Requirements
Ph.D. Forms
Molecular Biophysics Concentration


Courses

Undergraduate Courses in Bioinformatics
Graduate Courses


Frequently Asked Questions
Undergraduate Research Initiative","['https://cci.charlotte.edu/departments/department-of-bioinformatics-and-genomics/big-faculty/', 'https://cci.charlotte.edu/departments/department-of-bioinformatics-and-genomics/big-staff/', 'https://cci.charlotte.edu/departments/bioinformatics/about-big/', 'https://cci.charlotte.edu/departments/bioinformatics/dissertation-archive/', 'https://cci.charlotte.edu/departments/bioinformatics/about-big/facilities/', 'https://cci.charlotte.edu/departments/bioinformatics/about-big/facilities/core-laboratories/', 'https://cci.charlotte.edu/departments/bioinformatics/about-big/facilities/research-computing/', 'https://cci.charlotte.edu/departments/bioinformatics/about-big/directions/', 'https://cci.charlotte.edu/departments/bioinformatics/about-big/community-partners/', 'https://cci.charlotte.edu/big-news/', 'https://cci.charlotte.edu/departments/bioinformatics/bioinformatics-news/recognitions/', 'https://cci.charlotte.edu/departments/bioinformatics/seminars/', 'https://cci.charlotte.edu/research/bioinformatics-research/', 'https://cci.charlotte.edu/research/bioinformatics-research/big-data-bioinformatics/', 'https://cci.charlotte.edu/research/bioinformatics-research/research-labs/', 'https://cci.charlotte.edu/research/bioinformatics-research/computational-biophysics/', 'https://cci.charlotte.edu/research/bioinformatics-research/computational-mass-spectrometry/', 'https://cci.charlotte.edu/research/bioinformatics-research/genome-wide-association-analysis/', 'https://cci.charlotte.edu/research/bioinformatics-research/high-throughput-studies/', 'https://cci.charlotte.edu/research/bioinformatics-research/metagenomics/', 'https://cci.charlotte.edu/research/bioinformatics-research/plant-genomics/', 'https://cci.charlotte.edu/research/bioinformatics-research/structural-bioinformatics/', 'https://cci.charlotte.edu/research/bioinformatics-research/systems-biology/', 'https://cci.charlotte.edu/big-calendar/', 'https://cci.charlotte.edu/academics/bioinformatics/', 'https://cci.charlotte.edu/academics/bioinformatics/computer-science-bioinformatics-concentration-ba/', 'https://cci.charlotte.edu/academics/bioinformatics/computer-science-bioinformatics-concentration-bs/', 'https://cci.charlotte.edu/academics/bioinformatics/undergraduate-minor-bioinformatics-and-genomics-program-requirements/', 'https://cci.charlotte.edu/academics/bioinformatics/early-entry-bioinformatics-ms-and-graduate-certificates/', 'https://cci.charlotte.edu/academics/bioinformatics/bioinformatics-graduate-certificates/', 'https://cci.charlotte.edu/academics/bioinformatics/bioinformatics-ms-program/', 'https://cci.charlotte.edu/academics/bioinformatics/bioinformatics-ms-program/admissions/', 'https://cci.charlotte.edu/academics/bioinformatics/bioinformatics-ms-program/program-requirements/', 'https://cci.charlotte.edu/academics/bioinformatics/bioinformatics-ms-program/ms-bioinformatics-forms/', 'https://cci.charlotte.edu/academics/bioinformatics/bcb-phd-program/', 'https://cci.charlotte.edu/academics/bioinformatics/bcb-phd-program/bcb-phd-admissions/', 'https://cci.charlotte.edu/academics/bioinformatics/bcb-phd-program/bcb-phd-program-requirements/', 'https://cci.charlotte.edu/academics/bioinformatics/bcb-phd-program/phd-forms/', 'https://cci.charlotte.edu/departments/department-of-bioinformatics-and-genomics/academics-2/molecular-biophysics-concentration/', 'https://cci.charlotte.edu/academics/bioinformatics/courses/', 'https://cci.charlotte.edu/academics/bioinformatics/courses/undergraduate-courses/', 'https://cci.charlotte.edu/academics/bioinformatics/courses/graduate-courses/', 'https://cci.charlotte.edu/departments/department-of-bioinformatics-and-genomics/academics-2/courses/frequently-asked-questions/', 'https://cci.charlotte.edu/academics/bioinformatics/undergraduate-research-initiative/']"
ul,"Dissertation Archive
Facilities

Core Laboratories
Research Computing


Directions
Community Partners","['https://cci.charlotte.edu/departments/bioinformatics/dissertation-archive/', 'https://cci.charlotte.edu/departments/bioinformatics/about-big/facilities/', 'https://cci.charlotte.edu/departments/bioinformatics/about-big/facilities/core-laboratories/', 'https://cci.charlotte.edu/departments/bioinformatics/about-big/facilities/research-computing/', 'https://cci.charlotte.edu/departments/bioinformatics/about-big/directions/', 'https://cci.charlotte.edu/departments/bioinformatics/about-big/community-partners/']"
ul,"Core Laboratories
Research Computing","['https://cci.charlotte.edu/departments/bioinformatics/about-big/facilities/core-laboratories/', 'https://cci.charlotte.edu/departments/bioinformatics/about-big/facilities/research-computing/']"
ul,Recognitions,['https://cci.charlotte.edu/departments/bioinformatics/bioinformatics-news/recognitions/']
ul,"Big Data in Bioinformatics
Research Labs
Computational Biophysics
Computational Mass Spectrometry
Genome-Wide Association Analysis
High-Throughput Studies
Metagenomics
Plant Genomics
Structural Bioinformatics
Systems Biology","['https://cci.charlotte.edu/research/bioinformatics-research/big-data-bioinformatics/', 'https://cci.charlotte.edu/research/bioinformatics-research/research-labs/', 'https://cci.charlotte.edu/research/bioinformatics-research/computational-biophysics/', 'https://cci.charlotte.edu/research/bioinformatics-research/computational-mass-spectrometry/', 'https://cci.charlotte.edu/research/bioinformatics-research/genome-wide-association-analysis/', 'https://cci.charlotte.edu/research/bioinformatics-research/high-throughput-studies/', 'https://cci.charlotte.edu/research/bioinformatics-research/metagenomics/', 'https://cci.charlotte.edu/research/bioinformatics-research/plant-genomics/', 'https://cci.charlotte.edu/research/bioinformatics-research/structural-bioinformatics/', 'https://cci.charlotte.edu/research/bioinformatics-research/systems-biology/']"
